1:	Action: S_2
 	Stack: [0, int, 2]
 	Input Queue: [main, (, int, id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

2:	Action: R_type_0
 	Stack: [0, type, 1]
 	Input Queue: [main, (, int, id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

3:	Action: S_5
 	Stack: [0, type, 1, main, 5]
 	Input Queue: [(, int, id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

4:	Action: S_6
 	Stack: [0, type, 1, main, 5, (, 6]
 	Input Queue: [int, id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

5:	Action: S_2
 	Stack: [0, type, 1, main, 5, (, 6, int, 2]
